"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"CN3","AM240320B","1043.771mil","1258.284mil","2895mil","1730.284mil","1284.764mil","1553.559mil","B","180.00","FH26-51S-0.3SHW(05)"
"L2","0603L","2745mil","370.284mil","2745mil","370.284mil","2745mil","342.784mil","B","270.00","BEAD"
"C6","0402C","1470mil","1120.284mil","1470mil","1120.284mil","1470mil","1101.284mil","B","270.00","100nF"
"C5","0402C","2570mil","370.284mil","2570mil","370.284mil","2570mil","351.284mil","B","270.00","10nF"
"C4","0402C","2645mil","370.284mil","2645mil","370.284mil","2645mil","351.284mil","B","270.00","100nF"
"RP5","RES-4B","1295mil","570.284mil","1295mil","570.284mil","1261.5mil","617.528mil","B","90.00","10K"
"RP4","RES-4B","1295mil","820.284mil","1295mil","820.284mil","1261.5mil","867.528mil","B","90.00","10K"
"RP2","RES-4B","2320mil","1545.284mil","2320mil","1545.284mil","2367.244mil","1511.784mil","B","0.00","10K"
"Z1","DO216AA","2151.22mil","545.284mil","2170mil","545.284mil","2197.5mil","545.284mil","B","360.00","STPS1L40M"
"R8","0402R","1745mil","1545.284mil","1745mil","1545.284mil","1745mil","1564.284mil","B","90.00","4K7"
"R7","0402R","1470mil","970.284mil","1470mil","970.284mil","1470mil","951.284mil","B","270.00","4K7"
"R6","0402R","1970mil","1545.284mil","1970mil","1545.284mil","1970mil","1564.284mil","B","90.00","4K7"
"R5","0402R","1295mil","695.284mil","1295mil","695.284mil","1314mil","695.284mil","B","360.00","4K7"
"R4","0603R","2545mil","520.284mil","2545mil","520.284mil","2545mil","547.784mil","B","90.00","[N/A]"
"R3","0603R","2245mil","245.284mil","2245mil","245.284mil","2245mil","272.784mil","B","90.00","10"
"R2","0603R","2570mil","195.284mil","2570mil","195.284mil","2570mil","222.784mil","B","90.00","100K"
"R1","0603R","2645mil","520.284mil","2645mil","520.284mil","2645mil","547.784mil","B","90.00","0"
"L1","3225L","2370mil","545.284mil","2370mil","545.284mil","2430mil","545.284mil","B","360.00","4.7uH(1A)"
"C2","3225C","2695mil","195.284mil","2695mil","195.284mil","2695mil","255.284mil","B","90.00","476P/35V"
"C1","3225C","2095mil","345.284mil","2095mil","345.284mil","2095mil","405.284mil","B","90.00","476P/35V"
"RP1","RES-4B","1620mil","1545.284mil","1620mil","1545.284mil","1667.244mil","1578.784mil","B","360.00","10K"
"R10","0402R","1895mil","1545.284mil","1895mil","1545.284mil","1895mil","1564.284mil","B","90.00","4K7"
"R9","0402R","1820mil","1545.284mil","1820mil","1545.284mil","1820mil","1564.284mil","B","90.00","4K7"
"C3","1206C","2370mil","956mil","2370mil","956mil","2370mil","1016mil","B","90.00","476P"
"RP3","RES-4B","2095mil","1545.284mil","2095mil","1545.284mil","2142.244mil","1511.784mil","B","0.00","10K"
"U1","QFNT8","2420mil","345.284mil","2420mil","345.284mil","2477.087mil","383.67mil","B","270.00","STLD40DPMR"
"R11","0603R","970mil","1570.284mil","970mil","1570.284mil","942.5mil","1570.284mil","B","180.00","[N/A]"
"R12","0603R","2370mil","720.284mil","2370mil","720.284mil","2370mil","692.784mil","B","270.00","[N/A]"
"R13","0603R","1945mil","720.284mil","1945mil","720.284mil","1945mil","692.784mil","B","270.00","[N/A]"
"R14","0603R","1545mil","720.284mil","1545mil","720.284mil","1545mil","692.784mil","B","270.00","[N/A]"
"R15","0603R","3220mil","745.284mil","3220mil","745.284mil","3220mil","717.784mil","B","270.00","[N/A]"
"C7","0603C","2245mil","395.284mil","2245mil","395.284mil","2245mil","367.784mil","B","270.00","10nF"
"TP1","TP","2620mil","652mil","2620mil","652mil","2620mil","652mil","B","180.00",""
"TP2","TP","2795mil","172mil","2795mil","172mil","2795mil","172mil","B","180.00",""
"TP3","TP","2795mil","645.284mil","2795mil","645.284mil","2795mil","645.284mil","B","180.00",""
"TP4","TP","2095mil","145.284mil","2095mil","145.284mil","2095mil","145.284mil","B","180.00",""
"TP5","TP","2795.937mil","270.284mil","2795.937mil","270.284mil","2795.937mil","270.284mil","B","180.00",""
"CN1","AM240320A","1671.532mil","888.926mil","97.063mil","157.568mil","3146mil","1620.284mil","T","0.00","SPI connector"
"CN2","AM240*320B","2995mil","920.284mil","97.063mil","157.568mil","2945mil","1620.284mil","T","360.00","16-bit connector"
"MP1","markpoint_1.0","651.937mil","145.284mil","651.937mil","145.284mil","651.937mil","145.284mil","T","0.00",""
"MP2","markpoint_1.0","2820mil","1595.284mil","2820mil","1595.284mil","2820mil","1595.284mil","T","0.00",""

