The log file is created on Thu Jan 30 22:29:56 2025

[Computer Name]     DESKTOP-D851ENJ

[Operating System]  Microsoft Windows (newer OS) [Version ] 

[SPEED Simulator]   SPDSIM2000 version 24.0.0.05151.504415   000

[SPEED File]        D:\Projects\HardwareDesign\Sigrity\ac_multi_ic\result\powerripple\1\temp\simulation_input.sp



[Time Steps]	[Mem Usage (M bytes)]	[Free Memory (M bytes)]	[Total CPU Time (hour:min:sec)]	[FDTD solver CPU Time (hour:min:sec)]	[Circuit solver CPU Time (hour:min:sec)]	[Peak Mem Usage (M bytes)]	[VM Size (M bytes)]

1		41.7539			10989.8			0: 0: 1			0: 0: 0					0: 0: 1					42.6406				135.047

1000		42.2344			10991.2			0: 0: 2			0: 0: 0			0: 0: 2			42.6406			164.355

2000		42.5703			11018.4			0: 0: 3			0: 0: 0			0: 0: 3			42.6406			164.355

3000		42.6523			11020.3			0: 0: 4			0: 0: 0			0: 0: 4			42.6562			164.5

4000		42.7344			11019.3			0: 0: 5			0: 0: 0			0: 0: 5			42.7383			164.5

5000		42.8047			11019.4			0: 0: 6			0: 0: 0			0: 0: 6			42.8086			164.645

6000		43.3242			11023.7			0: 0: 7			0: 0: 0			0: 0: 7			43.3281			164.812

7000		43.4062			11025.4			0: 0: 8			0: 0: 0			0: 0: 8			43.4102			164.812

8000		43.4805			11025			0: 0: 9			0: 0: 0			0: 0: 9			43.4844			164.957

9000		43.5664			11025.4			0: 0: 10			0: 0: 0			0: 0: 10			43.5703			165.102

10000		43.6523			11000			0: 0: 11			0: 0: 0			0: 0: 11			43.6562			165.102

11000		43.6875			10919.1			0: 0: 12			0: 0: 0			0: 0: 12			43.6914			165.246

12000		43.8477			10940.3			0: 0: 13			0: 0: 0			0: 0: 13			43.8516			165.391

13000		43.8828			10941.1			0: 0: 15			0: 0: 0			0: 0: 15			43.8867			165.391

14000		44.0156			10988.9			0: 0: 16			0: 0: 0			0: 0: 16			44.0195			165.535

15000		44.0703			11121.6			0: 0: 18			0: 0: 0			0: 0: 18			44.0742			165.68

16000		44.1328			11122.7			0: 0: 19			0: 0: 0			0: 0: 19			44.1367			165.824

17000		44.1406			11145.2			0: 0: 20			0: 0: 0			0: 0: 20			44.1445			165.824

18000		44.2891			14081.7			0: 0: 21			0: 0: 0			0: 0: 21			44.293			165.973

19000		44.3945			14055.8			0: 0: 23			0: 0: 0			0: 0: 23			44.3984			165.973

20000		44.5078			14069.8			0: 0: 24			0: 0: 0			0: 0: 24			44.5117			166.117

21000		44.5508			14260.8			0: 0: 25			0: 0: 0			0: 0: 25			44.5547			166.117

22000		44.5859			14252.2			0: 0: 26			0: 0: 0			0: 0: 26			44.5898			166.262

23000		44.7227			14176.9			0: 0: 27			0: 0: 0			0: 0: 27			44.7266			166.406

24000		44.8398			14115.8			0: 0: 28			0: 0: 0			0: 0: 28			44.8438			166.406

25000		44.8984			14246.2			0: 0: 30			0: 0: 0			0: 0: 30			44.9375			147.395

26000		44.9102			14949			0: 0: 31			0: 0: 0			0: 0: 31			44.9375			147.395

27000		45.0117			14887.9			0: 0: 32			0: 0: 0			0: 0: 32			45.0156			147.539

28000		45.082			14829.6			0: 0: 33			0: 0: 0			0: 0: 33			45.0859			147.539

