The log file is created on Mon Mar  3 22:33:30 2025

[Computer Name]     DESKTOP-D851ENJ

[Operating System]  Microsoft Windows (newer OS) [Version ] 

[SPEED Simulator]   SPDSIM2000 version 24.0.0.05151.504415   000

[SPEED File]        D:\Projects\HardwareDesign\Sigrity\ast\result\1\Chan_Typ_Typ\temp\channel_Tx_out1p_out1n_Rx.sp



[Time Steps]	[Mem Usage (M bytes)]	[Free Memory (M bytes)]	[Total CPU Time (hour:min:sec)]	[FDTD solver CPU Time (hour:min:sec)]	[Circuit solver CPU Time (hour:min:sec)]	[Peak Mem Usage (M bytes)]	[VM Size (M bytes)]

1		17.0703			1333.57			0: 0: 0			0: 0: 0					0: 0: 0					17.0742				107.836

1000		17.75			1331.63			0: 0: 0			0: 0: 0			0: 0: 0			17.7539			137

2000		18.1289			1330.87			0: 0: 0			0: 0: 0			0: 0: 0			18.1328			137.383

3000		18.9727			1333.87			0: 0: 0			0: 0: 0			0: 0: 0			18.9766			137.867

4000		19.375			1335.66			0: 0: 0			0: 0: 0			0: 0: 0			19.3789			138.281

5000		19.6328			1334.23			0: 0: 0			0: 0: 0			0: 0: 0			19.6367			138.559

6000		20.0117			1334.56			0: 0: 0			0: 0: 0			0: 0: 0			20.0156			138.949

7000		20.3945			1335.53			0: 0: 1			0: 0: 0			0: 0: 1			20.3984			139.348

8000		20.6914			1335.57			0: 0: 1			0: 0: 0			0: 0: 1			20.6953			139.664

9000		21.1719			1335.43			0: 0: 1			0: 0: 0			0: 0: 1			21.1758			140.168

10000		21.4062			1335.91			0: 0: 1			0: 0: 0			0: 0: 1			21.4102			140.418

11000		21.8125			1335.91			0: 0: 1			0: 0: 0			0: 0: 1			21.8164			140.852

12000		22.1562			1333.25			0: 0: 1			0: 0: 0			0: 0: 1			22.1602			141.219

13000		22.4492			1333			0: 0: 1			0: 0: 0			0: 0: 1			22.4531			141.508

14000		22.8555			1333			0: 0: 2			0: 0: 0			0: 0: 2			22.8594			141.934

