The log file is created on Tue Feb 25 19:51:38 2025

[Computer Name]     DESKTOP-D851ENJ

[Operating System]  Microsoft Windows (newer OS) [Version ] 

[SPEED Simulator]   SPDSIM2000 version 24.0.0.05151.504415   000

[SPEED File]        D:\Projects\HardwareDesign\Sigrity\conference\result\1\Chan_Typ_Typ\temp\channel_TX_LOWER_pos_neg_RX_PRIMARY.sp



[Time Steps]	[Mem Usage (M bytes)]	[Free Memory (M bytes)]	[Total CPU Time (hour:min:sec)]	[FDTD solver CPU Time (hour:min:sec)]	[Circuit solver CPU Time (hour:min:sec)]	[Peak Mem Usage (M bytes)]	[VM Size (M bytes)]

1		56.5703			16479.8			0: 0: 2			0: 0: 0					0: 0: 2					56.5742				176.281

1000		57.1562			16481.2			0: 0: 3			0: 0: 0			0: 0: 3			57.1602			176.781

2000		57.4492			16483.4			0: 0: 5			0: 0: 0			0: 0: 5			57.4531			177.074

3000		57.75			16601			0: 0: 7			0: 0: 0			0: 0: 7			57.7539			177.379

4000		58.5586			16564.2			0: 0: 8			0: 0: 0			0: 0: 8			58.5625			177.801

5000		58.9648			16397			0: 0: 10			0: 0: 0			0: 0: 10			58.9688			178.238

6000		59.3477			16409.9			0: 0: 11			0: 0: 0			0: 0: 11			59.3516			178.637

7000		59.6523			16220			0: 0: 13			0: 0: 0			0: 0: 13			59.6562			178.965

8000		59.9648			16372.3			0: 0: 14			0: 0: 0			0: 0: 14			59.9688			179.289

9000		60.418			16375.7			0: 0: 16			0: 0: 0			0: 0: 16			60.4219			179.758

10000		60.7656			16376.3			0: 0: 17			0: 0: 0			0: 0: 17			60.7695			180.121

11000		61.0742			16457.3			0: 0: 19			0: 0: 0			0: 0: 19			61.0781			180.453

12000		61.4141			16495.4			0: 0: 20			0: 0: 0			0: 0: 20			61.418			180.82

13000		61.6836			16613			0: 0: 21			0: 0: 0			0: 0: 21			61.6875			181.109

14000		62.1289			16524.9			0: 0: 23			0: 0: 0			0: 0: 23			62.1328			181.543

15000		62.4258			16548			0: 0: 24			0: 0: 0			0: 0: 24			62.4297			181.883

