The log file is created on Tue Feb 25 19:52:23 2025

[Computer Name]     DESKTOP-D851ENJ

[Operating System]  Microsoft Windows (newer OS) [Version ] 

[SPEED Simulator]   SPDSIM2000 version 24.0.0.05151.504415   000

[SPEED File]        D:\Projects\HardwareDesign\Sigrity\conference\result\1\Chan_Typ_Typ\temp2\channel_TX_UPPER_pos_neg_RX_PRIMARY.sp



[Time Steps]	[Mem Usage (M bytes)]	[Free Memory (M bytes)]	[Total CPU Time (hour:min:sec)]	[FDTD solver CPU Time (hour:min:sec)]	[Circuit solver CPU Time (hour:min:sec)]	[Peak Mem Usage (M bytes)]	[VM Size (M bytes)]

1		56.5352			16453.1			0: 0: 0			0: 0: 0					0: 0: 0					56.5391				176.535

1000		57.1797			16453.3			0: 0: 1			0: 0: 0			0: 0: 1			57.1836			177.062

2000		57.4766			16392.1			0: 0: 3			0: 0: 0			0: 0: 3			57.4805			177.363

3000		57.8125			16322.1			0: 0: 4			0: 0: 0			0: 0: 4			57.8164			177.711

4000		58.5977			16317.9			0: 0: 5			0: 0: 0			0: 0: 5			58.6016			178.117

5000		58.9805			16304			0: 0: 7			0: 0: 0			0: 0: 7			58.9844			178.52

6000		59.3633			16290.9			0: 0: 8			0: 0: 0			0: 0: 8			59.3672			178.918

7000		59.668			16282.6			0: 0: 9			0: 0: 0			0: 0: 9			59.6719			179.242

8000		60.0117			16293.9			0: 0: 11			0: 0: 0			0: 0: 11			60.0156			179.598

9000		60.4336			16454.9			0: 0: 12			0: 0: 0			0: 0: 12			60.4375			180.031

10000		60.7188			16460			0: 0: 14			0: 0: 0			0: 0: 14			60.7227			180.328

11000		61.0977			16456.9			0: 0: 15			0: 0: 0			0: 0: 15			61.1016			180.719

12000		61.4297			16477.8			0: 0: 17			0: 0: 0			0: 0: 17			61.4336			181.078

13000		61.7656			16470.6			0: 0: 18			0: 0: 0			0: 0: 18			61.7695			181.441

14000		62.1758			16469.6			0: 0: 20			0: 0: 0			0: 0: 20			62.1797			181.855

15000		62.4688			16475.6			0: 0: 21			0: 0: 0			0: 0: 21			62.4727			182.18

