The log file is created on Tue Feb 25 20:12:29 2025

[Computer Name]     DESKTOP-D851ENJ

[Operating System]  Microsoft Windows (newer OS) [Version ] 

[SPEED Simulator]   SPDSIM2000 version 24.0.0.05151.504415   000

[SPEED File]        D:\Projects\HardwareDesign\Sigrity\conference\result\2\Chan_Typ_Typ\temp1\channel_TX_PRIMARY_pos_neg_RX_PRIMARY.sp



[Time Steps]	[Mem Usage (M bytes)]	[Free Memory (M bytes)]	[Total CPU Time (hour:min:sec)]	[FDTD solver CPU Time (hour:min:sec)]	[Circuit solver CPU Time (hour:min:sec)]	[Peak Mem Usage (M bytes)]	[VM Size (M bytes)]

1		57.0273			16990.6			0: 0: 0			0: 0: 0					0: 0: 0					57.0312				176.871

1000		57.3828			16984.3			0: 0: 2			0: 0: 0			0: 0: 2			57.3867			177.074

2000		57.6719			16988.5			0: 0: 3			0: 0: 0			0: 0: 3			57.6758			177.371

3000		57.9844			16990.2			0: 0: 4			0: 0: 0			0: 0: 4			57.9883			177.688

4000		58.7695			16990.5			0: 0: 6			0: 0: 0			0: 0: 6			58.7734			178.078

5000		59.1719			16991			0: 0: 7			0: 0: 0			0: 0: 7			59.1758			178.52

6000		59.5508			17002.5			0: 0: 8			0: 0: 0			0: 0: 8			59.5547			178.918

7000		59.8594			16999.2			0: 0: 10			0: 0: 0			0: 0: 10			59.8633			179.242

8000		60.2461			16999.1			0: 0: 11			0: 0: 0			0: 0: 11			60.25			179.641

9000		60.5586			16977.9			0: 0: 12			0: 0: 0			0: 0: 12			60.5625			179.973

10000		60.9766			16986.7			0: 0: 14			0: 0: 0			0: 0: 14			60.9805			180.398

11000		61.2109			17001.8			0: 0: 15			0: 0: 0			0: 0: 15			61.2148			180.625

12000		61.6172			16995.9			0: 0: 17			0: 0: 0			0: 0: 17			61.6211			181.062

13000		61.9531			17089.8			0: 0: 18			0: 0: 0			0: 0: 18			61.957			181.426

14000		62.3984			17092.8			0: 0: 20			0: 0: 0			0: 0: 20			62.4023			181.879

15000		62.7266			17093.9			0: 0: 21			0: 0: 0			0: 0: 21			62.7305			182.242

