The log file is created on Thu Jan 30 22:51:17 2025

[Computer Name]     DESKTOP-D851ENJ

[Operating System]  Microsoft Windows (newer OS) [Version ] 

[SPEED Simulator]   SPDSIM2000 version 24.0.0.05151.504415   000

[SPEED File]        D:\Projects\HardwareDesign\Sigrity\pcbthru\result\1\Chan_Typ_Typ\temp\channel_tx_pos_neg_rx.sp



[Time Steps]	[Mem Usage (M bytes)]	[Free Memory (M bytes)]	[Total CPU Time (hour:min:sec)]	[FDTD solver CPU Time (hour:min:sec)]	[Circuit solver CPU Time (hour:min:sec)]	[Peak Mem Usage (M bytes)]	[VM Size (M bytes)]

1		23.5117			14571.4			0: 0: 0			0: 0: 0					0: 0: 0					23.5156				114.301

1000		24.2422			14572.3			0: 0: 0			0: 0: 0			0: 0: 0			24.2461			143.438

2000		24.5742			14564.7			0: 0: 0			0: 0: 0			0: 0: 0			24.5781			143.766

3000		24.9258			14556.4			0: 0: 1			0: 0: 0			0: 0: 1			24.9297			144.141

4000		25.7773			14548.8			0: 0: 1			0: 0: 0			0: 0: 1			25.7812			144.629

5000		26.0977			14541.3			0: 0: 1			0: 0: 0			0: 0: 1			26.1016			144.961

6000		26.4492			14540.9			0: 0: 1			0: 0: 0			0: 0: 1			26.4531			145.324

7000		26.7656			14542.3			0: 0: 2			0: 0: 0			0: 0: 2			26.7695			145.648

8000		27.1445			14542.3			0: 0: 2			0: 0: 0			0: 0: 2			27.1484			146.047

9000		27.4922			14542.3			0: 0: 2			0: 0: 0			0: 0: 2			27.4961			146.406

10000		27.7969			14542.1			0: 0: 2			0: 0: 0			0: 0: 2			27.8008			146.738

11000		28.0703			14541.1			0: 0: 3			0: 0: 0			0: 0: 3			28.0742			147.027

12000		28.4805			14541.2			0: 0: 3			0: 0: 0			0: 0: 3			28.4844			147.461

13000		28.793			14542.5			0: 0: 3			0: 0: 0			0: 0: 3			28.7969			147.777

14000		29.2539			14542.5			0: 0: 3			0: 0: 0			0: 0: 3			29.2578			148.277

15000		29.4844			14571.7			0: 0: 3			0: 0: 0			0: 0: 3			29.4883			148.5

